"" "clu_res"
"gene353.fasta" "CLUSTER6"
"gene354.fasta" "CLUSTER6"
"gene355.fasta" "CLUSTER6"
"gene356.fasta" "CLUSTER6"
"gene357.fasta" "CLUSTER6"
"gene358.fasta" "CLUSTER6"
"gene359.fasta" "CLUSTER6"
"gene36.fasta" "CLUSTER6"
"gene360.fasta" "CLUSTER6"
"gene361.fasta" "CLUSTER6"
"gene362.fasta" "CLUSTER6"
"gene363.fasta" "CLUSTER6"
"gene364.fasta" "CLUSTER6"
"gene365.fasta" "CLUSTER6"
"gene366.fasta" "CLUSTER6"
"gene367.fasta" "CLUSTER6"
"gene368.fasta" "CLUSTER6"
"gene369.fasta" "CLUSTER6"
"gene37.fasta" "CLUSTER6"
"gene370.fasta" "CLUSTER6"
"gene371.fasta" "CLUSTER6"
"gene372.fasta" "CLUSTER6"
"gene373.fasta" "CLUSTER6"
"gene374.fasta" "CLUSTER6"
"gene375.fasta" "CLUSTER6"
"gene376.fasta" "CLUSTER6"
"gene377.fasta" "CLUSTER6"
"gene378.fasta" "CLUSTER1"
"gene379.fasta" "CLUSTER6"
"gene38.fasta" "CLUSTER6"
"gene380.fasta" "CLUSTER6"
"gene381.fasta" "CLUSTER6"
"gene382.fasta" "CLUSTER6"
"gene383.fasta" "CLUSTER6"
"gene384.fasta" "CLUSTER6"
"gene385.fasta" "CLUSTER6"
"gene386.fasta" "CLUSTER6"
"gene387.fasta" "CLUSTER6"
"gene388.fasta" "CLUSTER6"
"gene389.fasta" "CLUSTER6"
"gene39.fasta" "CLUSTER6"
"gene390.fasta" "CLUSTER4"
"gene391.fasta" "CLUSTER6"
"gene392.fasta" "CLUSTER6"
"gene393.fasta" "CLUSTER6"
"gene394.fasta" "CLUSTER6"
"gene395.fasta" "CLUSTER6"
"gene396.fasta" "CLUSTER6"
"gene397.fasta" "CLUSTER6"
"gene398.fasta" "CLUSTER6"
"gene399.fasta" "CLUSTER6"
"gene4.fasta" "CLUSTER6"
"gene40.fasta" "CLUSTER6"
"gene400.fasta" "CLUSTER6"
"gene401.fasta" "CLUSTER6"
"gene402.fasta" "CLUSTER6"
"gene403.fasta" "CLUSTER6"
"gene404.fasta" "CLUSTER6"
"gene405.fasta" "CLUSTER6"
"gene406.fasta" "CLUSTER6"
"gene407.fasta" "CLUSTER6"
"gene408.fasta" "CLUSTER6"
"gene409.fasta" "CLUSTER4"
"gene41.fasta" "CLUSTER6"
"gene410.fasta" "CLUSTER6"
"gene411.fasta" "CLUSTER6"
"gene412.fasta" "CLUSTER1"
"gene413.fasta" "CLUSTER6"
"gene415.fasta" "CLUSTER6"
"gene416.fasta" "CLUSTER6"
"gene417.fasta" "CLUSTER6"
"gene418.fasta" "CLUSTER6"
"gene419.fasta" "CLUSTER6"
"gene42.fasta" "CLUSTER4"
"gene420.fasta" "CLUSTER6"
"gene421.fasta" "CLUSTER6"
"gene422.fasta" "CLUSTER6"
"gene423.fasta" "CLUSTER6"
"gene424.fasta" "CLUSTER6"
"gene425.fasta" "CLUSTER6"
"gene426.fasta" "CLUSTER6"
"gene427.fasta" "CLUSTER6"
"gene428.fasta" "CLUSTER6"
"gene429.fasta" "CLUSTER6"
"gene43.fasta" "CLUSTER6"
"gene430.fasta" "CLUSTER6"
"gene432.fasta" "CLUSTER6"
"gene433.fasta" "CLUSTER6"
"gene434.fasta" "CLUSTER4"
"gene435.fasta" "CLUSTER6"
"gene436.fasta" "CLUSTER6"
"gene437.fasta" "CLUSTER6"
"gene438.fasta" "CLUSTER6"
"gene439.fasta" "CLUSTER6"
"gene440.fasta" "CLUSTER6"
"gene441.fasta" "CLUSTER1"
"gene442.fasta" "CLUSTER6"
"gene443.fasta" "CLUSTER6"
"gene444.fasta" "CLUSTER6"
"gene445.fasta" "CLUSTER6"
"gene446.fasta" "CLUSTER6"
"gene45.fasta" "CLUSTER6"
"gene46.fasta" "CLUSTER9"
"gene47.fasta" "CLUSTER6"
"gene48.fasta" "CLUSTER6"
"gene49.fasta" "CLUSTER6"
"gene5.fasta" "CLUSTER6"
"gene50.fasta" "CLUSTER6"
"gene51.fasta" "CLUSTER6"
"gene52.fasta" "CLUSTER6"
"gene53.fasta" "CLUSTER6"
"gene54.fasta" "CLUSTER6"
"gene55.fasta" "CLUSTER6"
"gene56.fasta" "CLUSTER6"
"gene57.fasta" "CLUSTER6"
"gene58.fasta" "CLUSTER6"
"gene6.fasta" "CLUSTER6"
"gene60.fasta" "CLUSTER6"
"gene61.fasta" "CLUSTER6"
"gene62.fasta" "CLUSTER6"
"gene63.fasta" "CLUSTER6"
"gene64.fasta" "CLUSTER6"
"gene65.fasta" "CLUSTER6"
"gene66.fasta" "CLUSTER6"
"gene67.fasta" "CLUSTER6"
"gene68.fasta" "CLUSTER6"
"gene69.fasta" "CLUSTER6"
"gene7.fasta" "CLUSTER6"
"gene70.fasta" "CLUSTER6"
"gene71.fasta" "CLUSTER6"
"gene72.fasta" "CLUSTER6"
"gene73.fasta" "CLUSTER6"
"gene74.fasta" "CLUSTER6"
"gene75.fasta" "CLUSTER6"
"gene76.fasta" "CLUSTER6"
"gene77.fasta" "CLUSTER4"
"gene78.fasta" "CLUSTER6"
"gene79.fasta" "CLUSTER6"
"gene8.fasta" "CLUSTER1"
"gene80.fasta" "CLUSTER6"
"gene81.fasta" "CLUSTER6"
"gene82.fasta" "CLUSTER6"
"gene83.fasta" "CLUSTER6"
"gene84.fasta" "CLUSTER6"
"gene85.fasta" "CLUSTER6"
"gene86.fasta" "CLUSTER6"
"gene87.fasta" "CLUSTER6"
"gene88.fasta" "CLUSTER6"
"gene89.fasta" "CLUSTER6"
"gene9.fasta" "CLUSTER6"
"gene90.fasta" "CLUSTER6"
"gene91.fasta" "CLUSTER6"
"gene92.fasta" "CLUSTER6"
"gene93.fasta" "CLUSTER6"
"gene94.fasta" "CLUSTER6"
"gene95.fasta" "CLUSTER6"
"gene96.fasta" "CLUSTER4"
"gene97.fasta" "CLUSTER6"
"gene98.fasta" "CLUSTER6"
"gene99.fasta" "CLUSTER6"
